City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,bodaybo,57.8506,114.1933,-9.22,90,100,0.54,RU,1707371756
164,vorgashor,67.5833,63.95,-5.0,85,100,6.18,RU,1707371668
165,daru,-9.0763,143.2092,29.23,77,100,2.59,PG,1707371636
166,smithers,54.7804,-127.1743,-4.82,93,75,1.03,CA,1707371757
167,newman,37.3138,-121.0208,7.38,93,79,1.34,US,1707371681
168,shimoda,34.6667,138.95,10.2,68,74,1.91,JP,1707371757
169,wotho,10.1657,166.0102,26.81,71,82,9.38,MH,1707371757
170,marshall,34.3834,-86.3333,11.84,60,0,2.57,US,1707371607
171,la sarre,48.8002,-79.1996,0.47,93,100,2.61,CA,1707371758
172,yeppoon,-23.1333,150.7333,29.88,60,24,9.07,AU,1707371759
173,balabac,7.9868,117.0645,28.33,72,58,4.43,PH,1707371759
174,kill devil hills,36.0307,-75.676,6.1,79,100,3.09,US,1707371759
175,goure,13.9835,10.2704,13.14,26,1,3.91,NE,1707371759
176,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,80,75,1.0,RU,1707371660
177,tura,25.5198,90.2201,22.19,22,2,2.64,IN,1707371693
178,cidreira,-30.1811,-50.2056,23.71,92,96,4.3,BR,1707371760
179,rutland,43.6167,-73.0162,-1.55,88,20,0.74,US,1707371162
180,surat,21.1667,72.8333,26.99,41,37,5.66,IN,1707371735
181,porto novo,6.4965,2.6036,23.9,57,9,0.92,BJ,1707371761
182,kristiansund,63.1115,7.732,-3.64,86,75,2.06,NO,1707371762
183,bei'an,24.5399,109.533,5.66,73,99,4.89,CN,1707371762
184,valparaiso,-33.0393,-71.6273,20.82,75,100,3.09,CL,1707371762
185,gutierrez zamora,20.45,-97.0833,17.65,90,0,3.43,MX,1707371763
186,ghat,24.9647,10.1728,11.02,25,0,2.29,LY,1707371763
187,emkhomazi,-30.2067,30.7978,23.37,79,100,3.09,ZA,1707371763
188,cody,44.5263,-109.0565,-0.76,92,100,4.63,US,1707371763
189,palu,-0.8917,119.8707,30.35,73,98,2.22,ID,1707371764
190,naliya,23.2667,68.8333,25.21,32,98,7.71,IN,1707371764
191,freetown,8.484,-13.2299,26.84,78,68,3.6,SL,1707371765
192,lillesand,58.2488,8.3778,-3.95,86,75,3.6,NO,1707371765
193,rongelap,11.1635,166.8941,26.42,77,100,8.48,MH,1707371765
194,birni n konni,13.7956,5.2553,15.45,20,1,4.46,NE,1707371765
195,cherlak,54.155,74.8055,-5.29,85,74,8.23,RU,1707371766
196,saint-louis,16.3333,-15.0,22.96,11,1,4.46,SN,1707371766
197,beoumi,7.6736,-5.5764,20.87,27,6,1.5,CI,1707371767
198,moapa valley,36.5805,-114.4703,8.64,56,55,4.3,US,1707371767
199,touros,-5.1989,-35.4608,26.6,81,41,4.65,BR,1707371645
200,enewetak,11.3474,162.3373,26.72,82,100,7.54,MH,1707371605
201,susuman,62.7833,148.1667,-31.59,100,92,0.85,RU,1707371667
202,faya-largeau,17.9257,19.1043,13.98,30,16,6.39,TD,1707371768
203,portel,-1.9356,-50.8211,24.33,93,67,1.76,BR,1707371768
204,juneau,58.3019,-134.4197,-4.21,97,40,1.54,US,1707371768
205,deqen,29.9618,90.7188,3.19,8,0,6.75,CN,1707371769
206,westport,41.1415,-73.3579,2.19,75,0,0.45,US,1707371769
207,sur,22.5667,59.5289,23.03,63,98,4.21,OM,1707371769
208,savanna-la-mar,18.219,-78.1332,23.97,75,5,4.16,JM,1707371770
209,nantucket,41.2835,-70.0995,0.03,93,0,6.03,US,1707371647
210,lazaro cardenas,17.9583,-102.2,24.25,81,33,2.07,MX,1707371770
211,mendi,-6.1761,143.6513,17.12,90,100,1.66,PG,1707371771
212,east london,-33.0153,27.9116,20.52,68,0,3.6,ZA,1707371670
213,christchurch,-43.5333,172.6333,18.3,81,75,3.09,NZ,1707371102
214,aasiaat,68.7098,-52.8699,-18.96,96,100,3.41,GL,1707371772
215,podporozh'ye,60.9112,34.1706,-22.64,99,86,1.98,RU,1707371772
216,swakopmund,-22.6833,14.5333,18.47,86,98,1.82,NA,1707371772
217,port macquarie,-31.4333,152.9167,24.38,69,99,6.42,AU,1707371567
218,brisas de zicatela,15.8369,-97.0419,23.47,82,4,1.47,MX,1707371684
219,sao gabriel da cachoeira,-0.1303,-67.0892,23.19,98,95,0.44,BR,1707371773
220,fraserburgh,57.6874,-2.0184,2.02,67,12,4.45,GB,1707371774
221,birobidzhan,48.8,132.95,-6.51,71,11,2.66,RU,1707371774
222,zyrya,40.3661,50.2917,16.05,64,5,13.46,AZ,1707371774
223,mossel bay,-34.1831,22.146,20.96,76,43,4.22,ZA,1707371774
224,wilmore,37.862,-84.6616,10.21,50,91,3.09,US,1707371729
225,souillac,-20.5167,57.5167,28.53,78,40,5.66,MU,1707371775
226,st. john's,47.5649,-52.7093,-1.79,92,100,7.2,CA,1707371681
227,island harbour,50.724,-1.2758,9.15,95,100,2.68,GB,1707371776
228,hun,29.1268,15.9477,11.08,37,0,2.55,LY,1707371776
229,sos'va,59.1766,61.8558,-13.3,98,85,1.79,RU,1707371776
230,murghob,38.1702,73.9667,-16.92,65,4,1.71,TJ,1707371777
231,miagao,10.6442,122.2352,29.55,65,32,1.82,PH,1707371777
232,sitka,57.0531,-135.33,0.94,80,0,2.57,US,1707371777
233,ouesso,1.6136,16.0517,21.77,49,76,0.75,CG,1707371778
234,semirara,12.0697,121.3986,26.64,77,6,6.42,PH,1707371778
235,baoding,38.8511,115.4903,4.22,43,95,0.87,CN,1707371779
236,ilhabela,-23.7781,-45.3581,23.83,91,61,1.24,BR,1707371779
237,kerema,-7.9631,145.7785,28.45,73,98,2.38,PG,1707371779
238,ubari,26.5921,12.7805,10.03,42,1,1.8,LY,1707371779
239,jiwani,25.05,61.7417,22.2,41,45,0.37,PK,1707371780
240,santiago de cao,-7.9589,-79.2392,25.07,78,75,3.6,PE,1707371780
241,tashtagol,52.7657,87.8894,-4.15,86,100,0.45,RU,1707371780
242,hilo,19.7297,-155.09,20.9,90,40,1.54,US,1707371559
243,kasama,-10.2129,31.1808,19.68,88,49,0.59,ZM,1707371781
244,dhuusamarreeb,5.535,46.3861,26.86,56,77,7.83,SO,1707371781
